,plot,native,distance,lat,long,rich
199,1157,native,0.242902379,41.290557,-81.588455,29
300,1156,adventive,0.261828308,41.542776,-81.413404,9
301,1156,native,0.261828308,41.542776,-81.413404,16
243,1155,adventive,0.219768143,41.377822,-81.504689,4
244,1155,native,0.219768143,41.377822,-81.504689,29
40,1154,adventive,0.188923406,41.431115,-81.841867,2
41,1154,native,0.188923406,41.431115,-81.841867,25
172,1153,adventive,0.217801355,41.309999,-81.609062,4
173,1153,native,0.217801355,41.309999,-81.609062,38
,1151,adventive,0.249081215,41.297185,-81.789524,0
88,1151,native,0.249081215,41.297185,-81.789524,17
62,1150,adventive,0.158511903,41.47687,-81.827161,3
63,1150,native,0.158511903,41.47687,-81.827161,11
136,1149,adventive,0.295241498,41.223566,-81.69743,5
137,1149,native,0.295241498,41.223566,-81.69743,27
239,1148,adventive,0.148405268,41.55118,-81.529425,9
240,1148,native,0.148405268,41.55118,-81.529425,22
78,1147,adventive,0.252601259,41.29809,-81.798544,2
79,1147,native,0.252601259,41.29809,-81.798544,20
114,1146,adventive,0.31381626,41.20663,-81.714097,3
115,1146,native,0.31381626,41.20663,-81.714097,43
316,1144,adventive,0.283483736,41.439769,-81.401536,7
317,1144,native,0.283483736,41.439769,-81.401536,50
208,1143,adventive,0.172745189,41.379904,-81.570106,6
209,1143,native,0.172745189,41.379904,-81.570106,41
206,1141,adventive,0.248051365,41.289386,-81.577506,14
207,1141,native,0.248051365,41.289386,-81.577506,36
286,1140,adventive,0.252987802,41.556543,-81.42403,2
287,1140,native,0.252987802,41.556543,-81.42403,27
150,1136,adventive,0.134440581,41.384695,-81.692377,1
151,1136,native,0.134440581,41.384695,-81.692377,11
84,1135,adventive,0.241684109,41.307947,-81.793793,8
85,1135,native,0.241684109,41.307947,-81.793793,50
7,1134,adventive,0.30015399,41.422753,-81.958727,17
8,1134,native,0.30015399,41.422753,-81.958727,21
233,1132,adventive,0.185331954,41.388827,-81.54103,10
234,1132,native,0.185331954,41.388827,-81.54103,44
42,1131,adventive,0.244932935,41.335118,-81.837111,2
43,1131,native,0.244932935,41.335118,-81.837111,23
281,1129,adventive,0.254470682,41.576058,-81.426315,1
282,1129,native,0.254470682,41.576058,-81.426315,32
265,1128,adventive,0.261353672,41.414085,-81.434187,10
266,1128,native,0.261353672,41.414085,-81.434187,42
229,1127,adventive,0.181394769,41.383693,-81.551989,1
230,1127,native,0.181394769,41.383693,-81.551989,21
46,1126,adventive,0.233224908,41.35069,-81.836654,13
47,1126,native,0.233224908,41.35069,-81.836654,47
190,1125,adventive,0.218680357,41.314205,-81.594437,5
191,1125,native,0.218680357,41.314205,-81.594437,42
296,1124,adventive,0.269947948,41.434678,-81.41724,22
297,1124,native,0.269947948,41.434678,-81.41724,25
52,1122,adventive,0.227354468,41.354872,-81.832534,9
53,1122,native,0.227354468,41.354872,-81.832534,32
128,1117,adventive,0.30375562,41.215263,-81.700322,1
129,1117,native,0.30375562,41.215263,-81.700322,38
164,1116,adventive,0.087047183,41.43122,-81.665845,12
165,1116,native,0.087047183,41.43122,-81.665845,24
71,1115,adventive,0.240165674,41.320694,-81.811149,2
72,1115,native,0.240165674,41.320694,-81.811149,21
9,1114,adventive,0.291621406,41.414094,-81.946574,2
10,1114,native,0.291621406,41.414094,-81.946574,23
290,1112,adventive,0.272326187,41.419258,-81.420205,12
291,1112,native,0.272326187,41.419258,-81.420205,45
227,1111,adventive,0.190771763,41.36947,-81.554178,12
228,1111,native,0.190771763,41.36947,-81.554178,43
28,1110,adventive,0.235021054,41.390925,-81.871827,2
29,1110,native,0.235021054,41.390925,-81.871827,22
184,1105,adventive,0.226156703,41.304382,-81.599444,4
185,1105,native,0.226156703,41.304382,-81.599444,40
310,1104,adventive,0.265183038,41.532513,-81.409267,10
311,1104,native,0.265183038,41.532513,-81.409267,28
91,1103,adventive,0.24725007,41.295486,-81.78209,11
92,1103,native,0.24725007,41.295486,-81.78209,30
58,1102,adventive,0.164958979,41.466159,-81.830687,9
59,1102,native,0.164958979,41.466159,-81.830687,37
132,1101,adventive,0.299742595,41.219148,-81.698639,10
133,1101,native,0.299742595,41.219148,-81.698639,55
255,1100,adventive,0.240019702,41.561677,-81.438056,4
256,1100,native,0.240019702,41.561677,-81.438056,15
67,1099,adventive,0.246304463,41.3176,-81.817412,2
68,1099,native,0.246304463,41.3176,-81.817412,24
139,1098,adventive,0.31476078,41.203915,-81.696414,26
140,1098,native,0.31476078,41.203915,-81.696414,72
,1097,adventive,0.250617627,41.578334,-81.430829,0
273,1097,native,0.250617627,41.578334,-81.430829,24
56,1094,adventive,0.176312635,41.439099,-81.831779,7
57,1094,native,0.176312635,41.439099,-81.831779,23
204,1093,adventive,0.245992548,41.289925,-81.581586,3
205,1093,native,0.245992548,41.289925,-81.581586,20
279,1092,adventive,0.250553358,41.558291,-81.426773,3
280,1092,native,0.250553358,41.558291,-81.426773,22
245,1091,adventive,0.218518238,41.379929,-81.504577,5
